,gender,age,household_income,degree,school_degree,parking_strategy,survey_income_interval,income_group
0,2.0,27.0,4077.0,10.0,5.0,3.0,6.0,1
1,2.0,46.0,4824.0,7.0,5.0,4.0,6.0,1
2,1.0,70.0,3733.0,4.0,3.0,7.0,6.0,1
3,2.0,50.0,4864.0,10.0,5.0,4.0,6.0,1
4,2.0,48.0,2475.0,5.0,5.0,3.0,5.0,1
5,2.0,67.0,4111.0,4.0,3.0,3.0,6.0,1
6,1.0,55.0,2973.0,5.0,4.0,5.0,5.0,1
7,2.0,38.0,9443.0,10.0,5.0,3.0,7.0,2
8,2.0,51.0,12113.0,10.0,5.0,3.0,7.0,2
9,1.0,77.0,2898.0,7.0,3.0,4.0,5.0,1
10,1.0,33.0,6644.0,5.0,4.0,3.0,7.0,2
11,1.0,29.0,4088.0,7.0,5.0,4.0,6.0,1
12,2.0,63.0,3779.0,4.0,5.0,4.0,6.0,1
13,2.0,42.0,8145.0,10.0,5.0,3.0,7.0,2
14,2.0,64.0,1777.0,4.0,4.0,4.0,3.0,0
15,2.0,38.0,1591.0,4.0,4.0,3.0,4.0,0
16,2.0,68.0,1273.0,4.0,3.0,3.0,3.0,0
17,1.0,43.0,5916.0,4.0,4.0,3.0,7.0,2
18,1.0,55.0,5646.0,9.0,5.0,3.0,7.0,1
19,1.0,37.0,6248.0,11.0,5.0,3.0,7.0,2
20,2.0,47.0,7985.0,4.0,5.0,7.0,7.0,2
21,1.0,45.0,5249.0,8.0,5.0,3.0,7.0,1
22,1.0,65.0,3659.0,4.0,3.0,5.0,5.0,1
23,1.0,45.0,10458.0,9.0,5.0,4.0,7.0,2
24,2.0,26.0,1573.0,8.0,5.0,5.0,4.0,0
25,1.0,47.0,4827.0,4.0,4.0,3.0,6.0,1
26,2.0,51.0,3113.0,6.0,4.0,5.0,4.0,1
27,2.0,39.0,9596.0,11.0,5.0,4.0,7.0,2
28,1.0,33.0,4583.0,10.0,5.0,4.0,6.0,1
29,2.0,75.0,2910.0,9.0,5.0,5.0,5.0,1
30,2.0,51.0,3232.0,5.0,4.0,5.0,5.0,1
31,1.0,55.0,5956.0,4.0,4.0,4.0,7.0,2
32,1.0,28.0,2620.0,11.0,5.0,4.0,5.0,1
33,2.0,77.0,3887.0,7.0,5.0,4.0,6.0,1
34,1.0,76.0,1516.0,0.0,3.0,3.0,3.0,0
35,1.0,34.0,4707.0,7.0,5.0,4.0,6.0,1
36,2.0,30.0,4518.0,1.0,5.0,7.0,6.0,1
37,2.0,48.0,3655.0,4.0,5.0,4.0,6.0,1
38,2.0,58.0,5536.0,4.0,4.0,3.0,7.0,1
39,1.0,52.0,4807.0,7.0,4.0,3.0,6.0,1
40,2.0,43.0,4038.0,5.0,5.0,7.0,5.0,1
41,1.0,51.0,2743.0,10.0,5.0,4.0,5.0,1
42,1.0,52.0,3381.0,11.0,5.0,5.0,6.0,1
43,2.0,66.0,2071.0,6.0,4.0,3.0,3.0,0
44,2.0,57.0,3949.0,5.0,5.0,3.0,6.0,1
45,2.0,36.0,4140.0,10.0,5.0,5.0,6.0,1
46,2.0,63.0,1733.0,10.0,5.0,3.0,4.0,0
47,2.0,26.0,1798.0,4.0,5.0,5.0,4.0,0
48,1.0,60.0,2811.0,4.0,3.0,3.0,5.0,1
49,1.0,34.0,4082.0,8.0,5.0,3.0,5.0,1
50,2.0,71.0,4845.0,6.0,4.0,7.0,6.0,1
51,2.0,73.0,2323.0,4.0,3.0,4.0,5.0,1
52,1.0,47.0,9079.0,9.0,5.0,5.0,7.0,2
53,1.0,69.0,2165.0,4.0,3.0,5.0,4.0,0
54,1.0,39.0,2853.0,9.0,5.0,3.0,4.0,1
55,2.0,40.0,2184.0,7.0,4.0,7.0,4.0,0
56,2.0,53.0,3630.0,5.0,4.0,5.0,6.0,1
57,2.0,42.0,2500.0,9.0,5.0,7.0,5.0,1
58,2.0,64.0,3247.0,6.0,4.0,3.0,5.0,1
59,2.0,61.0,2299.0,4.0,3.0,4.0,4.0,1
60,2.0,71.0,1490.0,4.0,3.0,5.0,4.0,0
61,1.0,70.0,1967.0,4.0,4.0,7.0,4.0,0
62,2.0,49.0,3703.0,4.0,4.0,3.0,6.0,1
63,2.0,61.0,1720.0,4.0,3.0,5.0,4.0,0
64,1.0,80.0,1867.0,7.0,5.0,3.0,4.0,0
65,1.0,32.0,3316.0,8.0,5.0,3.0,5.0,1
66,1.0,42.0,6035.0,4.0,4.0,3.0,7.0,2
67,2.0,60.0,1826.0,3.0,3.0,3.0,4.0,0
68,2.0,45.0,5138.0,11.0,5.0,5.0,7.0,1
69,1.0,38.0,1757.0,5.0,4.0,4.0,4.0,0
70,2.0,47.0,6775.0,10.0,5.0,7.0,7.0,2
71,2.0,78.0,3536.0,4.0,3.0,4.0,5.0,1
72,1.0,48.0,9585.0,10.0,5.0,3.0,7.0,2
73,1.0,30.0,4905.0,10.0,5.0,3.0,6.0,1
74,2.0,60.0,4408.0,4.0,5.0,3.0,6.0,1
75,1.0,72.0,1332.0,4.0,3.0,7.0,3.0,0
76,2.0,42.0,2329.0,4.0,3.0,3.0,5.0,1
77,1.0,46.0,2174.0,4.0,4.0,4.0,4.0,0
78,1.0,65.0,3725.0,4.0,3.0,5.0,5.0,1
79,2.0,68.0,1506.0,4.0,3.0,4.0,4.0,0
80,1.0,65.0,2545.0,4.0,2.0,3.0,5.0,1
81,1.0,59.0,2861.0,5.0,4.0,5.0,5.0,1
82,2.0,61.0,684.0,4.0,5.0,7.0,3.0,0
83,1.0,44.0,4031.0,10.0,5.0,3.0,6.0,1
84,1.0,49.0,4389.0,7.0,5.0,4.0,6.0,1
85,1.0,31.0,2664.0,8.0,5.0,3.0,5.0,1
86,1.0,71.0,4660.0,4.0,4.0,5.0,6.0,1
87,2.0,58.0,1682.0,3.0,5.0,3.0,4.0,0
88,1.0,46.0,4958.0,4.0,4.0,3.0,6.0,1
89,2.0,48.0,5371.0,10.0,5.0,3.0,7.0,1
90,1.0,34.0,2386.0,4.0,4.0,3.0,5.0,1
91,2.0,61.0,4329.0,3.0,4.0,7.0,6.0,1
92,1.0,54.0,1952.0,4.0,5.0,5.0,4.0,0
93,1.0,70.0,3773.0,4.0,3.0,4.0,6.0,1
