ticks,road-section,number-of-cars,mean-speed
1,1,5,0.1584
1,44,3,0.132
1,9,4,0.1485
1,8,6,0.165
1,47,5,0.1584
1,50,2,0.198
1,97,1,0.198
1,17,6,0.1485
1,60,4,0.14850000000000002
1,29,4,0.14850000000000002
1,41,6,0.1815
1,2,4,0.14850000000000002
1,69,2,0.198
1,18,5,0.1584
1,76,2,0.198
1,13,4,0.14850000000000002
1,78,7,0.15557142857142855
1,11,5,0.099
1,40,3,0.165
1,26,4,0.198
1,58,8,0.12375
1,21,4,0.198
1,56,4,0.14850000000000002
1,57,2,0.198
1,30,1,0.198
1,43,3,0.19800000000000004
1,4,3,0.19800000000000004
1,54,11,0.13499999999999998
1,14,1,0.198
1,87,1,0.198
1,59,4,0.198
1,79,1,0.198
1,23,5,0.0792
1,19,3,0.19800000000000004
1,32,5,0.1782
1,34,3,0.19800000000000004
1,45,8,0.111375
1,22,4,0.198
1,75,4,0.14850000000000002
1,86,2,0.198
1,49,6,0.1815
1,12,3,0.132
1,55,1,0.198
1,16,3,0.19800000000000004
1,39,5,0.1386
1,6,2,0.198
1,51,2,0.099
1,20,4,0.12375000000000001
1,3,3,0.165
1,67,2,0.198
1,73,4,0.099
1,35,6,0.1485
1,27,3,0.066
1,7,1,0.198
1,64,2,0.198
1,5,1,0.198
2,1,5,0.2574
2,44,3,0.231
2,9,4,0.22275
2,8,6,0.24750000000000005
2,47,5,0.23760000000000003
2,50,2,0.29700000000000004
2,97,1,0.29700000000000004
2,17,6,0.21450000000000002
2,60,4,0.27225000000000005
2,29,4,0.24750000000000003
2,41,6,0.2805
2,2,4,0.24750000000000003
2,69,2,0.29700000000000004
2,18,5,0.2574
2,76,2,0.29700000000000004
2,13,4,0.27225000000000005
2,78,7,0.25457142857142856
2,11,5,0.15840000000000004
2,40,3,0.231
2,26,4,0.29700000000000004
2,58,8,0.19800000000000004
2,21,4,0.29700000000000004
2,56,4,0.22275000000000003
2,57,2,0.29700000000000004
2,30,1,0.29700000000000004
2,43,3,0.29700000000000004
2,4,3,0.29700000000000004
2,54,11,0.252
2,14,1,0.29700000000000004
2,87,1,0.29700000000000004
2,59,4,0.29700000000000004
2,79,1,0.29700000000000004
2,23,5,0.1386
2,19,3,0.29700000000000004
2,32,5,0.2772
2,34,3,0.29700000000000004
2,45,8,0.17325000000000002
2,22,4,0.29700000000000004
2,75,4,0.24750000000000005
2,86,2,0.29700000000000004
2,49,6,0.2805
2,12,3,0.231
2,55,1,0.29700000000000004
2,16,3,0.29700000000000004
2,39,5,0.198
2,6,2,0.29700000000000004
2,51,2,0.198
2,20,4,0.19800000000000004
2,3,3,0.231
2,67,2,0.29700000000000004
2,73,4,0.17325000000000002
2,35,6,0.21450000000000002
2,27,3,0.09900000000000002
2,7,1,0.29700000000000004
2,64,1,0.29700000000000004
2,5,2,0.14850000000000002
3,1,5,0.3564
3,44,3,0.33
3,9,3,0.33
3,8,6,0.33
3,47,5,0.33660000000000007
3,50,2,0.396
3,97,1,0.396
3,17,6,0.31349999999999995
3,60,5,0.3564
3,29,4,0.34650000000000003
3,41,6,0.37949999999999995
3,2,4,0.34650000000000003
3,69,2,0.396
3,18,5,0.3564
3,76,2,0.396
3,13,4,0.37124999999999997
3,78,7,0.3394285714285714
3,11,5,0.198
3,40,3,0.33
3,26,4,0.396
3,58,7,0.2687142857142857
3,21,4,0.396
3,56,4,0.29700000000000004
3,57,2,0.396
3,30,1,0.396
3,43,3,0.3960000000000001
3,4,3,0.3960000000000001
3,54,10,0.3465
3,14,1,0.396
3,87,1,0.396
3,59,4,0.396
3,79,1,0.396
3,23,5,0.198
3,19,3,0.3960000000000001
3,0,3,0.29700000000000004
3,32,5,0.3564
3,34,3,0.3960000000000001
3,45,8,0.25987499999999997
3,22,4,0.396
3,75,4,0.32175000000000004
3,86,2,0.198
3,49,6,0.37949999999999995
3,12,4,0.34650000000000003
3,55,1,0.396
3,16,3,0.3960000000000001
3,39,5,0.2772
3,6,2,0.396
3,51,2,0.29700000000000004
3,20,4,0.27225
3,3,3,0.33
3,67,1,0.396
3,73,4,0.27225
3,35,6,0.297
3,27,3,0.132
3,64,1,0.396
